364,"babay, kababayan","buang air besar menceret-mencret yang tak tertahan kan, bukan pd tempatnya"
365,"babet, ngabetkeun",banting
366,bablas,sampai selesai (dari awal sampai akhir)
367,"babon, babon kapurba ku jago",bibit perempuan harus menurut kpd suaminya
368,"babuk, ngababuk","pukul, memukul dengan benda yang panjang dan liat misalnya dengan ikat pinggang, handuk dsb"
369,babut,mencabut bibit padi dari tempat persemaian utk ditanam di sawah
370,bacacar,berantakan
371,"bacem, ngabacem",membumbui ikan basah atau daging kemudian dibiarkan beberapa saat sebelum dimasak
372,baceo,"tak henti-hentinya bicara, namun tak jelas ujung pangkalnya biasanya anak yang sedang belajar bicara, suara ramai spt orang yang berbicara, mis burung beo, cucakrawa , dsb)"
373,bacokak,"berbicara kotor, berbicara porno"
375,"bacreuk, ngabacreuk","pemasangan bermacam macam makanan yang dijadikan hiasan di tempat kenduri, tidak laku (dagangan)"
376,badag,besar
377,badal,wakil yang dikuasakanKetiKata (Waktu) Dia Datang Saya Sedang Pergi Ke Kantor
378,badami,berunding
379,badan,"badan, tubuh"
380,badaniah,jasmaniah
381,badar,"ikan sungai, permata, tempat di arab yang pernah dijadikan tempat perang antara orang-orang islam dan orang kurais (perang badar)"
382,badarat,"bepergian dgn jalan kaki, menyampaikan pesan dgn lisan"
383,"badaus, ngabadaus","bunga kaso (gelagah), berjalan dgn lidak menengok ke sana kemari"
384,badawang,odek-ondel
385,badaya,"wanita penari di kraton atau kabupaten, tariannya pun tarian khusus."
386,"bade, ngabade","mau, akan, terka, menerka"
387,"badeg, ngabadeg",sangat banyak
388,badega,"pelayan, pembantu"
389,badeur,"bandel, tidak bisa dilarang"
390,badi,badik
391,badigul,"badannya besar, tak pantas dan biasanya kepalanya gundul"
392,badilang,"kurang cermat, kurang teliti"
393,badingkut,selimut dibuat dr kain kain sisa berwama-warna
394,badis,mirip atau sama (baik rupa maupun kelakuannya)
395,badog,"pencuri, maling, bangsat"
396,badogol,bagian dalam dari batang pisang
397,badong,"pakaian wayang yang berupa sayap, misal pakaian gatotkaca"
398,badori,widuri
399,badot,kambing jantan
400,badra,bulan
401,badra erawan,"bulan terhalangi oleh awan (dikatakan kpd orang yang sedang bersedih, prihatin), maaf, kasihan"
402,badud,"badut, bodor, pelawak"
403,"badug, ngabadug, babadug",menggerak-gerakkan badan ke sam ping supaya bebas
404,bae,saja
405,"bae, wae, we","saja, biar saja"
406,baeu,"kata-kata, utk mempersilakan dan mengejek dl acara sawer penganten (mempelai)"
407,baeud,bermukata masam
408,"baga, tarang baga",bagian perut di atas kemaluan
409,bagal,bongkot (batang pisang) bagian bawah
410,bagawan,"begawan, pendeta, resi"
411,bagbrag,semacam cara kuda berlari
412,bagea,menyatakan rasa rindu kpd yang datang dan jarang bertemu
413,bagean,bagian
414,bagebid,"tebal tapi tidak pantas, msl bibir yang tebal"
415,bagedor,batang pisang yang sudah di tebang
416,bagedur,kotor
417,"bagegel, ngabagegel","menyesal, serasa keras, jengkel mendongkol"
418,"bagel, ngabagel",keras (di dalam)
419,bagenda,"baginda, sebutan kpd sahabat nabi"
420,bageur,baik hati
421,bagilir,bergilir
422,bagja,kebahagiaan lahir batin
423,bagong,babi hutan
424,bagong bayangan,babi yang ganas ekali karena sudah terluka
425,bagor,"masih segar (utk buah-buahan), anyaman halus dari daun gebang, spt kain"
426,bagoug mogok,babi hutan (buruan) yang mogok
427,"bagug, ngabagug","ada (di depan rumah, misal: mobil)"
428,baha,membangkang
429,baham,mulut
430,bahasa kasar,bahasa yang dipergunakan sesama kawan
431,bahe,tumpah (karena tempatnya miring)
432,bahe carek,mohon maaf kalau-kalau ada perkataan yang salah
433,baheula ,"dahulu kala, waktu yang telah lampau"
434,"baheum, ngabaheum","menyuapkan makanan, obat bubuk, sebelum ditelan"
435,bahula,"tidak menurut pd perintah, membangkang"
436,bahya,bahaya
437,baid,naudubillah
438,bajag,"bajak, perampok, penyamun di laut"
439,"bajeg, babajeg",urat yang terdapat antara tumit dan buah betis
440,bajigjag,lagu dlm pupuh kinanti
441,"bajir, majir","mandul, menjadi gemuk karena banyak mengandung lemak"
442,bajo,bajag
443,bajong,borong
444,bajra,"senjata sejenis gada, angin"
445,bakakak,panggang ayam atau burung yang dibelah dadanya kemudian dibeberkan supaya melebar
446,bakatak,daun sirih hutan
447,bakating,"oleh sebab, karena, saking"
448,bakatul,"bekatul, lemukut"
449,bakekok,utk hoyah
450,baketrak,keras (dipergunakan utk tanah)
451,baketut,"cemberut, bermukata masam"
452,baki,"tampan, tampan, talam"
453,bakiak,alas kaki dr kayu
454,"bakrek, bukrak-bakrek",berantakan karena lama tidak diurus atau tidak dipelihara
455,bakrik,"bambu yang diambil dgn akar-akarnya, bentuk akarnya biasanya melengkung, gunanya utk mengait dan menolong pd waktu kebakaran"
456,"baksa, ngabaksaar","menari, menari sambil akan menyerahkan selendang kpd orang yang akan mendapat giliran menari"
457,baksis,"persen, uang tip"
458,"bakta, dibakta","cadangan, dilebihi dr cadangan"
459,"bakutet, dibakutet",diikat beberapa kali atau beberapa belit
460,"bala, ngabala","kotor, banyak rerumputan atau sampah, membuang sampah sembarangan atau bukan pd tempatnya"
461,balabah,"pemurah (biasanya digunakan kpd orang yang sukata memberikan sesuatu karena iba, kasihan, dan tanpa pamrih"
462,balabar,pagar sementara
463,balad,"pasukan,seluruh prajurit, angkatan perang"
464,baladah,memulai mengerjakan suatu pekerjaan yang berat
465,balaga,"sok, besar kepala, banyak laga"
466,balagadigdeug,"bodoh, tolol"
467,balaganjur,sebuah lagu ketuk tilu
468,balagendir,anak kutu yang baru menetas
469,"balagonjang, babaragonjangan",mencoba-coba kalau-kalau berhasil
470,balaham-belehem,tersenyum-senyum karena merasa malu
471,balaharti,salah pengertian
472,balai,"bahaya, malapetaka"
473,balaka,"terus terang, mengaku"
474,balakahirasan,tidak mau disuruh
475,balakang kalih,"esok lusa, nanti"
476,balakasikang,"dikatakan kpd perempuan yang bertingkah laku spt laki-laki (duduk bersita, memanjat pohon, memikul)"
477,balakatupat,belah ketupat
478,balakbak,"pupuh, lagu yang bersikap humor"
479,balakecrakan,senang-senang makan minum bersama
480,balakutak,helm (tutup kepala yang terbuat dr besi dan dipakai pd waktu berperang)
481,balandongan,"bangunan sementara (darurat) utk menerima tamu atau dipergunakan utk mempertunjukkan permainan, hiburan, sandiwara, wayang, dsb"
482,"balang, ngabalangkeun","membuang, melemparkan"
483,balangah,"lengah, kurang perhatian"
484,balangantrang,perempuan yang sudah tidak haid lagi
485,balangbengsal,"segala sesuatu yang bisa menimbulkan celaka, sial, atau kesusahan"
486,balangsak,"sengsara, menderita, susah"
487,"balangsiar, barangsiar","ikhtiar, berusaha, mencari nafkah, mencari penghidupan"
488,balantik,"berdagang, berusaha dgn jalan jual-beli"
489,balas,suatu akibat yang ditimbulkan karena sering atau terus menerus
490,balas bogo,penyakit kulit semacam panu
491,"balason, kabalason","mengatakan sesuatu seeara berlebihan dgn tidak disengaja, tercetus begitu saja, keseleo lidah, kelebihan ngomong"
492,"balatak, pabalatak",berserakan
493,balawiri,"hilir-mudik, simpang-siur"
494,balay,batu kira-kira sebesar tinju yang disusun rapi di atas tanah
495,balayar,"berlayar, bepergian dgn kapal laut"
496,bale,"bale, gedung, rumah (umum)"
497,balebat,garis-garis putih di sebelah timur menjelang fajar
498,bali,yang keluar setelah bayi (waktu) melahirkan
499,"balibir, malibir",secara langsung atau berterus terang
500,balideg,"merasa tidak enak badan karena influensa, pusing-pusing, dsb"
501,"balieur, ngabaieur",membuang muka
502,balik ngaran,mati di perantauan atau di medan perang
503,"balik, bulak-balik","pulang, kembali dr perantauan, bolak-balik, mundar-mandir, pulang pergi"
504,"balilihan, ceurik balilihan",menangis karena sakit hati
505,balilu,"dungu, sangat bodoh"
506,balincong,"alat dari besi penggali (tanah, batu, karang), lampu wayang kulit"
507,"balinger, kabalinger","keliru, tertipu"
508,balitungan,memperhitungkan hutang-piutang
509,baliung,beliung
510,"baliut, pabaliut",berjalan bersimpang
511,baliwet,"membikin pusing, susah mengikutinya, berbelit-belit (pembicaraan)"
512,balong,empang
513,"balongkeng, ba alongkengan ",kata utk muntah (muntah-muntah)
514,baluas,rasa kaget yg timbul karena teringat pd pengalaman yg menakutkan
515,balungbang,selokan atau parit yg dajam dan lebar tempat mengalirnya air hujan
516,baluweng,sangat bingung
517,"bancang, ngabancang","mengurangi, mengambil sebagian"
518,bancunur,"benjut, benjol di kepala karena terbentur atau kena benda keras"
519,banda,"harta benda, kekayaan, borgol, belenggu"
520,"bandaleut, ngabandaleut",beriring-iringan (orang banyak)
521,"bandang, ngabandang",memboyong
522,bandrangan,sejenis tumbak
523,bandring,"alat utk melemparkan batu pd zaman dahulu, ketapel"
524,"bandul, babandul","pemberat yg digantungkan, pemberat pd slinger atw rantai jam (buaian lonceng)"
525,bane,"karena, sebab"
526,bangbaluh,"yg memberatkan, pemberat"
527,bangban,sejenis tumbuh-tumbuhan hutan
528,bangbang,"bentuk badan laki-laki yg tegap dan baik dilihatnya, perubahan dari kata bambang (sebutan utk satria dlm cerita wayang)"
529,bangbara,"kumbang sejenis tawon besar, warnanya hitam, sukata membuat lubang pd kayu-kayu rumah"
530,bangbrat,"kabur, melarikal diri"
531,bangir,"bentuk hidung yg dianggap bagus, mancung"
532,bangkala,"semasa, waktu, pada"
533,bangkanang,anak banteng
534,bangkar,"dikatakan pd binatang yg mati tidak keburu disembelih, dagingnya tidak dapat dimakan (haram)"
535,bangkarak,kertas bekas yg ada tulisannya tapi sudah tidak terpakai lagi
536,bangkawarah,kurang ajar
537,bangke,"bangkai, mayat"
538,bangkelung,tangkai sirih
539,bangkerut,"cemberut, bermukata masam (karena marah atau jengkei)"
540,bangket,nama kue kering
541,bangkong,"kodok, katak berwarna hijau"
542,bangkrung,melengkung ke atas (spt tanduk kerbau atau pikulan tu kajlg ikan)
543,bangkuang,bengkuang
544,banglus,lulus banglus selamat tiada kurang suatu apa
545,bangor,"nakal, bandel, menjengkelkan"
546,bangreung,tidak tenteram karena terganggu oleh suatu hal
547,bangsal,"gabah, aula, ruangan"
548,bangsing,seruling yg ditiup dr samping
549,bangun,"bentuk, seperti"
