346,badilang,"kurang cermat, kurang teliti"
347,badingkut,selimut dibuat dr kain kain sisa berwama-warna
348,badis,mirip atau sama (baik rupa maupun kelakuannya)
349,badog,"pencuri, maling, bangsat"
350,badogol,bagian dalam dari batang pisang
351,badong,"pakaian wayang yang berupa sayap, misal pakaian gatotkaca"
352,badori,widuri
353,badot,kambing jantan
354,badra,bulan
355,badra erawan,"bulan terhalangi oleh awan (dikatakan kpd orang yang sedang bersedih, prihatin), maaf, kasihan"
356,badud,"badut, bodor, pelawak"
357,"badug, ngabadug, babadug",menggerak-gerakkan badan ke sam ping supaya bebas
358,"bae, wae, we, ngabaekeun","saja, biar saja, menganggap enteng (menyepelekan)"
359,"baeu, baeu bangkeut","mari atau ayo, kata-kata utk mempersilakan dan mengejek dl acara sawer penganten (mempelai)"
360,baeud,bermukata masam
361,"baga, tarang baga",bagian perut di atas kemaluan
362,bagal,bongkot (batang pisang) bagian bawah
363,bagawan,"begawan, pendeta, resi"
364,bagbagan,pokok
365,bagbrag,semacam cara kuda berlari
366,"bage, pangbage","hendak atau akan, sambutan ueapan selamat datang"
367,bagea,menyatakan rasa rindu kpd yang datang dan jarang bertemu
368,bagean,bagian
369,bagebid,"tebal tapi tidak pantas, msl bibir yang tebal"
370,bagedor,batang pisang yang sudah di tebang
371,bagedur,kotor
372,"bagegel, ngabagegel","menyesal, serasa keras, jengkel mendongkol"
373,"bagel, ngabagel",keras (di dalam)
374,bagenda,"baginda, sebutan kpd sahabat nabi"
375,bageur,baik hati
376,bagilir,bergilir
377,bagja,kebahagiaan lahir batin
378,bagong,babi hutan
379,bagong bayangan,babi yang ganas sekali karena sudah terluka
380,bagong mogok,babi hutan (buruan) yang mogok
381,bagor,"masih segar (utk buah-buahan), anyaman halus dari daun gebang, spt kain"
382,"bagug, ngabagug","ada (di depan rumah, misal: mobil)"
383,baha,membangkang
384,baham,mulut
385,bahasa kasar,bahasa yang dipergunakan sesama kawan
386,bahe,tumpah (karena tempatnya miring)
387,bahe carek,mohon maaf kalau-kalau ada perkataan yang salah
388,baheula ,"dahulu kala, waktu yang telah lampau"
389,"baheum, ngabaheum","menyuapkan makanan, obat bubuk, sebelum ditelan"
390,bahula,"tidak menurut pd perintah, membangkang"
391,bahya,bahaya
392,baid,naudubillah
393,bajag,"bajak, perampok, penyamun di laut"
394,"bajeg, babajeg",urat yang terdapat antara tumit dan buah betis
395,bajigjag,lagu dlm pupuh kinanti
396,"bajing, bajing kuning, bajingan, bajing luncat","tupai, tupai bulunya bergaris kuning, orang jahat, nama Iagu, aslinya Iagu ketuk tilu, salah satu model memakai ikat kepala"
397,"bajir, majir","mandul, menjadi gemuk karena banyak mengandung lemak"
398,bajo,bajag
399,bajong,borong
400,bajra,"senjata sejenis gada, angin"
401,bakakak,panggang ayam atau burung yang dibelah dadanya kemudian dibeberkan supaya melebar
402,bakatak,daun sirih hutan
403,bakating,"oleh sebab, karena, saking"
404,bakatul,"bekatul, lemukut"
405,bakekok,utk hoyah
406,baketrak,keras (dipergunakan utk tanah)
407,baketut,"cemberut, bermukata masam"
408,baki,"tampan, tampan, talam"
409,bakiak,alas kaki dr kayu
410,"bakol, kaos bakol","benguk (sejenis kacang besar, kulitnya berbulu)"
411,"bakrek, bukrak-bakrek",berantakan karena lama tidak diurus atau tidak dipelihara
412,bakrik,"bambu yang diambil dgn akar-akarnya, bentuk akarnya biasanya melengkung, gunanya utk mengait dan menolong pd waktu kebakaran"
413,"baksa, ngabaksaar","menari, menari sambil akan menyerahkan selendang kpd orang yang akan mendapat giliran menari"
414,baksis,"persen, uang tip"
415,"bakta, dibakta","cadangan, dilebihi dr cadangan"
416,"bakutet, dibakutet",diikat beberapa kali atau beberapa belit
417,"bala, ngabala, ka bala ka bale","kotor (banyak rerumputan atau sampah), membuang sampah sembarangan atau bukan pd tempatnya, luwes (pandai bergaul dengan siapa saja atau dapat mengerjakan pekeIjaan halus maupun pekerjaan)"
418,balabah,"pemurah (biasanya digunakan kpd orang yang sukata memberikan sesuatu karena iba, kasihan, dan tanpa pamrih"
419,"balabar, balabar kawat","pagar sementara, sayembara"
420,balad,"pasukan,seluruh prajurit, angkatan perang"
421,baladah,memulai mengerjakan suatu pekerjaan yang berat
422,balaga,"sok, besar kepala, banyak laga"
423,balagadigdeug,"bodoh, tolol"
424,balaganjur,sebuah lagu ketuk tilu
425,balagendir,anak kutu yang baru menetas
426,"balagonjang, babaragonjangan",mencoba-coba kalau-kalau berhasil
427,balaham-belehem,tersenyum-senyum karena merasa malu
428,balaharti,salah pengertian
429,balai,"bahaya, malapetaka"
430,balaka,"terus terang, mengaku"
431,balakahirasan,tidak mau disuruh
432,balakang kalih,"esok lusa, nanti"
433,balakasikang,"dikatakan kpd perempuan yang bertingkah laku spt laki-laki (duduk bersita, memanjat pohon, memikul)"
434,balakatupat,belah ketupat
435,balakbak,"pupuh, lagu yang bersikap humor"
436,balakecrakan,senang-senang makan minum bersama
437,balakutak,helm (tutup kepala yang terbuat dr besi dan dipakai pd waktu berperang)
438,balandongan,"bangunan sementara (darurat) utk menerima tamu atau dipergunakan utk mempertunjukkan permainan, hiburan, sandiwara, wayang, dsb"
439,"balang, ngabalangkeun","membuang, melemparkan"
440,balangah,"lengah, kurang perhatian"
441,balangantrang,perempuan yang sudah tidak haid lagi
442,balangbengsal,"segala sesuatu yang bisa menimbulkan celaka, sial, atau kesusahan"
443,balangsak,"sengsara, menderita, susah"
444,"balangsiar, barangsiar","ikhtiar, berusaha, mencari nafkah, mencari penghidupan"
445,balantik,"berdagang, berusaha dgn jalan jual-beli"
446,balas,suatu akibat yang ditimbulkan karena sering atau terus menerus
447,balas bogo,penyakit kulit semacam panu
448,"balason, kabalason","mengatakan sesuatu seeara berlebihan dgn tidak disengaja, tercetus begitu saja, keseleo lidah, kelebihan ngomong"
449,"balatak, pabalatak",berserakan
450,balawiri,"hilir-mudik, simpang-siur"
451,balay,batu kira-kira sebesar tinju yang disusun rapi di atas tanah
452,balayar,"berlayar, bepergian dgn kapal laut"
453,bale,"bale, gedung, rumah (umum)"
454,balebat,garis-garis putih di sebelah timur menjelang fajar
455,"baledog, babaledogan","lempar, main lempar-lemparan atau melakukan suatu usaha barangkali ada hasilnya (untung-untungan)"
456,bali,yang keluar setelah bayi (waktu) melahirkan
457,"balibir, malibir",secara langsung atau berterus terang
458,balideg,"merasa tidak enak badan karena influensa, pusing-pusing, dsb"
459,"balieur, ngabaieur",membuang muka
460,balik ngaran,mati di perantauan atau di medan perang
461,"balik, bulak-balik","pulang, kembali dr perantauan, bolak-balik, mundar-mandir, pulang pergi"
462,"balilihan, ceurik balilihan",menangis karena sakit hati
463,balilu,"dungu, sangat bodoh"
464,balincong,"alat dari besi penggali (tanah, batu, karang), lampu wayang kulit"
465,"balinger, kabalinger","keliru, tertipu"
466,balitungan,memperhitungkan hutang-piutang
467,baliung,beliung
468,"baliut, pabaliut",berjalan bersimpang
